Unnamed: 0,year,month,countyfips,bi,pr,th,pdsi,pet,erc,rmin,rmax,tmmn,tmmx,srad,sph,vs,fm1000,fm100,statecode,state,countycode,county,commoditycode,commodity,insuranceplancode,insurancename,stagecode,damagecausecode,damagecause,monthcode,acres,loss
1149.0,2002.0,JUN,53023.0,26.106073,1.482216,221.5072,-0.451116326,5.0377862,39.00671,38.10789,76.94127,282.7342,296.1344,290.28439,0.007085254,3.541995,14.832599,12.059449,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,12,Heat,6.0,469.92,3790.0
1151.0,2002.0,JUN,53023.0,26.106073,1.482216,221.5072,-0.451116326,5.0377862,39.00671,38.10789,76.94127,282.7342,296.1344,290.28439,0.007085254,3.541995,14.832599,12.059449,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,6.0,2397.75,76615.0
1152.0,2002.0,JUN,53023.0,26.106073,1.482216,221.5072,-0.451116326,5.0377862,39.00671,38.10789,76.94127,282.7342,296.1344,290.28439,0.007085254,3.541995,14.832599,12.059449,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,12,Heat,6.0,18.42,1686.0
1155.0,2002.0,JUN,53023.0,26.106073,1.482216,221.5072,-0.451116326,5.0377862,39.00671,38.10789,76.94127,282.7342,296.1344,290.28439,0.007085254,3.541995,14.832599,12.059449,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,44,Cold Wet Weather,6.0,132.53,2027.0
1156.0,2002.0,JUN,53023.0,26.106073,1.482216,221.5072,-0.451116326,5.0377862,39.00671,38.10789,76.94127,282.7342,296.1344,290.28439,0.007085254,3.541995,14.832599,12.059449,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,6.0,6318.783,267493.8
1333.0,2002.0,MAY,53023.0,22.698138,1.075517,232.4144,-0.237425533,3.9044719,36.373228,40.76377,77.89369,278.2267,290.4093,255.96237,0.005359213,3.723079,14.991711,12.39848,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,41,Frost,5.0,728.107,27840.2
1482.0,2002.0,OCT,53023.0,29.556612,0.4546671,178.5621,-1.01029147,1.8358463,42.091188,32.3974,82.97763,273.4062,286.9005,133.74337,0.003867716,2.827078,13.36495,14.316218,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,10.0,46.4,13.0
1534.0,2002.0,SEP,53023.0,39.779065,0.3771379,241.5944,-0.687350281,3.6147052,57.272668,26.06214,71.67095,280.8002,295.3538,189.66736,0.005037799,3.196514,10.470469,10.508181,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,9.0,48.42,386.0
1800.0,2003.0,JUL,53023.0,52.099784,0.1435354,239.998,0.65755856,6.7858645,69.7029068,21.09031,55.55313,287.738,304.9,318.59871,0.00628478,3.075893,9.302162,7.235874,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,7.0,1910.03,93817.0
1802.0,2003.0,JUL,53023.0,52.099784,0.1435354,239.998,0.65755856,6.7858645,69.7029068,21.09031,55.55313,287.738,304.9,318.59871,0.00628478,3.075893,9.302162,7.235874,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,7.0,656.2,16322.0
1907.0,2003.0,JUN,53023.0,37.929362,0.130551,238.4572,1.539213991,5.6628236,51.4962533,31.98295,67.89911,283.093,297.9577,309.78122,0.006354757,3.31128,12.637377,9.236231,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,6.0,802.15,30114.6
1910.0,2003.0,JUN,53023.0,37.929362,0.130551,238.4572,1.539213991,5.6628236,51.4962533,31.98295,67.89911,283.093,297.9577,309.78122,0.006354757,3.31128,12.637377,9.236231,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,6.0,114.21,1804.0
1911.0,2003.0,JUN,53023.0,37.929362,0.130551,238.4572,1.539213991,5.6628236,51.4962533,31.98295,67.89911,283.093,297.9577,309.78122,0.006354757,3.31128,12.637377,9.236231,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,12,Heat,6.0,185.394,3408.6
1912.0,2003.0,JUN,53023.0,37.929362,0.130551,238.4572,1.539213991,5.6628236,51.4962533,31.98295,67.89911,283.093,297.9577,309.78122,0.006354757,3.31128,12.637377,9.236231,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,12,Heat,6.0,3451.592,131120.8
2084.0,2003.0,MAY,53023.0,17.934719,1.174187,199.9238,2.022659404,3.9332104,28.373139,42.51055,82.47593,279.1002,291.0829,251.71197,0.005906719,3.43559,17.692674,13.60338,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,UH,11,Drought,5.0,91.3,8417.0
2085.0,2003.0,MAY,53023.0,17.934719,1.174187,199.9238,2.022659404,3.9332104,28.373139,42.51055,82.47593,279.1002,291.0829,251.71197,0.005906719,3.43559,17.692674,13.60338,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,5.0,2007.356,63697.2
2086.0,2003.0,MAY,53023.0,17.934719,1.174187,199.9238,2.022659404,3.9332104,28.373139,42.51055,82.47593,279.1002,291.0829,251.71197,0.005906719,3.43559,17.692674,13.60338,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,P2,31,Excess Moisture/Precip/Rain,5.0,358.4,19164.0
2087.0,2003.0,MAY,53023.0,17.934719,1.174187,199.9238,2.022659404,3.9332104,28.373139,42.51055,82.47593,279.1002,291.0829,251.71197,0.005906719,3.43559,17.692674,13.60338,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,5.0,206.876,3878.4
2238.0,2003.0,SEP,53023.0,42.286219,0.7203433,210.4253,-0.036469801,3.8000334,58.1125449,27.64196,69.9427,282.9336,297.1587,189.60986,0.005848503,3.499097,10.282644,10.587179,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,1,Decline in Price,9.0,54.082,132.4
2354.0,2004.0,AUG,53023.0,31.2481021,1.239119,202.7043,-0.416318035,5.090287,53.5923247,29.76365,71.07848,287.0298,301.283,252.306,0.007720072,3.41645,10.783424,10.872858,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,21,Hail,8.0,113.45,2869.0
